motif_count,hourglass_type,signature,fanin_sig,fanout_sig,n_FWD,n_BWD,n_LAT,n_waist,n_waist_active,n_waist_eff,n_periphery,compression,bottleneck_area,bottleneck_level,k_in,k_out,structure_str,fan_in_0_area,fan_in_0_level,fan_in_1_area,fan_in_1_level,fan_out_0_area,fan_out_0_level,fan_out_1_area,fan_out_1_level
444,mixed,LAT->mix,LAT,mix,1,0,3,1802,6,4.926,155,0.086,AL,1,2,2,"[AL.PENPL1, AL.SNPL1] -> ALL1 -> [AL.INPL1, AL.MBL2]",AL.PENP,1,AL.SNP,1,AL.INP,1,AL.MB,2
439,mixed,LAT->mix,LAT,mix,1,0,3,1802,8,6.246,225,0.125,AL,1,2,2,"[AL.GNGL1, AL.PENPL1] -> ALL1 -> [AL.INPL1, AL.LHL2]",AL.GNG,1,AL.PENP,1,AL.INP,1,AL.LH,2
126004,mixed,mix->BWD,mix,BWD,0,3,1,908,31,9.74,1988,2.189,AL,2,2,2,"[ALL3, AL.MBL2] -> ALL2 -> [ALL1, AL.VLNPL1]",AL,3,AL.MB,2,AL,1,AL.VLNP,1
73550,mixed,mix->BWD,mix,BWD,0,3,1,908,36,9.13,2057,2.265,AL,2,2,2,"[ALL3, AL.LHL2] -> ALL2 -> [ALL1, AL.VLNPL1]",AL,3,AL.LH,2,AL,1,AL.VLNP,1
59615,mixed,mix->BWD,mix,BWD,0,3,1,908,14,3.632,1987,2.188,AL,2,2,2,"[ALL3, AL.MBL2] -> ALL2 -> [ALL1, AL.GNGL1]",AL,3,AL.MB,2,AL,1,AL.GNG,1
52827,mixed,mix->BWD,mix,BWD,0,3,1,908,14,2.988,2056,2.264,AL,2,2,2,"[ALL3, AL.LHL2] -> ALL2 -> [ALL1, AL.GNGL1]",AL,3,AL.LH,2,AL,1,AL.GNG,1
51253,mixed,mix->BWD,mix,BWD,0,3,1,908,6,4.008,1986,2.187,AL,2,2,2,"[ALL3, AL.MBL2] -> ALL2 -> [ALL1, AL.INPL1]",AL,3,AL.MB,2,AL,1,AL.INP,1
49261,mixed,mix->BWD,mix,BWD,0,3,1,908,6,4.461,2055,2.263,AL,2,2,2,"[ALL3, AL.LHL2] -> ALL2 -> [ALL1, AL.INPL1]",AL,3,AL.LH,2,AL,1,AL.INP,1
46729,mixed,mix->BWD,mix,BWD,0,3,1,908,9,5.885,1984,2.185,AL,2,2,2,"[ALL3, AL.MBL2] -> ALL2 -> [ALL1, LHL1]",AL,3,AL.MB,2,AL,1,LH,1
46203,mixed,mix->BWD,mix,BWD,0,3,1,908,5,3.95,1986,2.187,AL,2,2,2,"[ALL3, AL.MBL2] -> ALL2 -> [ALL1, AL.SNPL1]",AL,3,AL.MB,2,AL,1,AL.SNP,1
