motif_count,hourglass_type,signature,fanin_sig,fanout_sig,n_FWD,n_BWD,n_LAT,n_waist,n_waist_active,n_waist_eff,n_periphery,compression,bottleneck_area,bottleneck_level,k_in,k_out,structure_str,fan_in_0_area,fan_in_0_level,fan_in_1_area,fan_in_1_level,fan_out_0_area,fan_out_0_level,fan_out_1_area,fan_out_1_level
2080,mixed,BWD->FWD,BWD,FWD,2,2,0,12,1,1.0,39381,3281.75,LX,1,2,2,"[LX.VLNPL2, VLNPL2] -> LXL1 -> [LXL2, OLL2]",LX.VLNP,2,VLNP,2,LX,2,OL,2
1950,mixed,mix->FWD,mix,FWD,2,1,1,12,1,1.0,325,27.083,LX,1,2,2,"[CX.LXL1, LX.VLNPL2] -> LXL1 -> [LXL2, VLNP.VMNPL2]",CX.LX,1,LX.VLNP,2,LX,2,VLNP.VMNP,2
1950,mixed,mix->FWD,mix,FWD,2,1,1,12,1,1.0,39296,3274.667,LX,1,2,2,"[CX.LXL1, OLL2] -> LXL1 -> [LXL2, VLNPL2]",CX.LX,1,OL,2,LX,2,VLNP,2
1950,mixed,BWD->FWD,BWD,FWD,2,2,0,12,1,1.0,39152,3262.667,LX,1,2,2,"[LX.VLNPL2, OLL2] -> LXL1 -> [LXL2, VLNP.VMNPL2]",LX.VLNP,2,OL,2,LX,2,VLNP.VMNP,2
1872,mixed,BWD->FWD,BWD,FWD,2,2,0,12,1,1.0,586,48.833,LX,1,2,2,"[INP.VLNPL2, VLNPL2] -> LXL1 -> [LXL2, LX.VLNPL2]",INP.VLNP,2,VLNP,2,LX,2,LX.VLNP,2
13288,mixed,mix->mix,mix,mix,1,1,2,93,3,1.161,1048,11.269,LX,2,2,2,"[LX.VLNPL2, LX.VLNPL3] -> LXL2 -> [VMNPL2, VMNPL3]",LX.VLNP,2,LX.VLNP,3,VMNP,2,VMNP,3
7002,mixed,mix->mix,mix,mix,1,1,2,93,4,1.278,816,8.774,LX,2,2,2,"[LX.VLNPL2, LX.VLNPL3] -> LXL2 -> [VLNP.VMNPL3, VMNPL2]",LX.VLNP,2,LX.VLNP,3,VLNP.VMNP,3,VMNP,2
6816,mixed,LAT->mix,LAT,mix,1,0,3,93,4,1.22,1014,10.903,LX,2,2,2,"[LX.VLNPL2, LX.VMNPL2] -> LXL2 -> [VMNPL2, VMNPL3]",LX.VLNP,2,LX.VMNP,2,VMNP,2,VMNP,3
6738,mixed,mix->mix,mix,mix,1,1,2,93,2,1.005,1312,14.108,LX,2,2,2,"[LX.VLNPL2, LX.VLNPL3] -> LXL2 -> [VLNPL2, VLNPL3]",LX.VLNP,2,LX.VLNP,3,VLNP,2,VLNP,3
6468,mixed,LAT->mix,LAT,mix,1,0,3,93,4,1.103,1071,11.516,LX,2,2,2,"[LX.VLNPL2, VLNP.VMNPL2] -> LXL2 -> [VMNPL2, VMNPL3]",LX.VLNP,2,VLNP.VMNP,2,VMNP,2,VMNP,3
6098,mixed,mix->mix,mix,mix,1,1,2,93,5,2.337,1425,15.323,LX,2,2,2,"[LX.VLNPL2, LX.VLNPL3] -> LXL2 -> [VLNPL3, VMNPL2]",LX.VLNP,2,LX.VLNP,3,VLNP,3,VMNP,2
