waist,n_pattern,massa,massa_max
PLP.LHL3,333320,10643038.0,3960.0
GNG.VESL4,241920,9956766.0,58921.0
LO.SCLL5,61313,9931202.0,36000.0
AOTU.FBL2,23077,9907907.0,154040.0
IPS.SPSL2,329934,9802173.0,4410.0
MB_VL.LALL5,75470,9583169.0,22680.0
ICL.GNGL4,94257,9390154.0,80820.0
SPS.LOL1,19538,9388470.0,104512.0
SIP.SMPL5,114672,9269636.0,19458.0
CRE.SPSL4,309408,9264031.0,2352.0
SIP.LHL3,83888,8975318.0,20028.0
IPS.PLPL3,278816,8681198.0,4273.0
LO.SLPL4,83920,8655314.0,20304.0
PLP.SMPL3,142834,8637923.0,25710.0
SIPL5,121278,8568153.0,12054.0
FLA.SMPL3,58665,8463121.0,35592.0
PLP.SPSL3,352205,8430409.0,3024.0
GNG.SLPL3,131006,8248471.0,55513.0
FLA.PRWL3,78834,8049532.0,11768.0
SPS.LALL4,140912,8040732.0,22464.0
SPS.IPSL2,158527,8009360.0,13188.0
SLP.AOTUL4,231846,7924941.0,2400.0
AVLP.AMMCL5,103760,7864619.0,9880.0
LAL.VESL4,213762,7828512.0,3888.0
SLP.SPSL5,187786,7760704.0,6776.0
PVLP.LALL5,45594,7653274.0,114016.0
SCL.SMPL5,281244,7616151.0,2000.0
CRE.SMPL4,140487,7550781.0,15978.0
LH.ALL2,30817,7432072.0,111369.0
SCLL3,178217,7266134.0,6350.0
IPS.LALL1,57519,7264751.0,22764.0
LH.AVLPL5,42960,7264364.0,246016.0
PVLP.SMPL5,159830,7164936.0,7500.0
ME.SCLL2,12896,7047781.0,47656.0
SCL.SLPL5,108010,7035421.0,6048.0
EBL5,93480,7013146.0,14077.0
SPS.ICLL4,277653,7007816.0,2527.0
LO.AOTUL4,53331,6990648.0,53233.0
MB_VL.LHL2,14877,6966324.0,269100.0
SMP.SIPL5,76519,6965452.0,18280.0
SIPL3,191575,6962445.0,2940.0
PLP.SADL3,243663,6888505.0,1287.0
WED.PLPL4,156991,6770639.0,5096.0
LO.VESL2,46246,6743157.0,34100.0
LO.PLPL1,38845,6693455.0,28077.0
ME.PLPL3,27088,6587577.0,35489.0
SAD.SPSL4,54345,6583330.0,46666.0
EB.FBL4,5656,6569142.0,195288.0
LO.SCLL4,79026,6543073.0,7282.0
GNG.SPSL5,60595,6497433.0,73338.0
PLP.LHL4,207142,6418650.0,1548.0
EB.FBL5,3688,6273526.0,282696.0
LH.PLPL5,81452,6121351.0,7920.0
AL.WEDL2,64396,6107262.0,40115.0
LAL.SIPL5,146835,6065091.0,4860.0
SPS.IPSL4,94933,6036938.0,8534.0
LO.VESL4,48204,5934472.0,13008.0
PLP.SLPL3,120086,5892725.0,5787.0
CREL3,205232,5871438.0,3569.0
LO.PLPL5,95900,5785723.0,8139.0
LOP.MEL4,2708,5744162.0,416528.0
LH.SIPL4,103786,5622698.0,6468.0
AMMC.AVLPL4,63389,5615382.0,46694.0
MB_ML.SMPL2,20794,5551290.0,173600.0
AOTU.LALL4,42321,5472993.0,25418.0
GNG.PLPL3,118108,5399938.0,7128.0
SMP.LHL4,102155,5389384.0,12720.0
