motif_count,hourglass_type,signature,fanin_sig,fanout_sig,n_FF,n_FB,n_lat,n_waist,n_waist_active,n_waist_eff,n_periphery,compression,bottleneck_area,bottleneck_level,k_in,k_out,structure_str,fan_in_0_area,fan_in_0_level,fan_in_1_area,fan_in_1_level,fan_out_0_area,fan_out_0_level,fan_out_1_area,fan_out_1_level
2144,mixed,mix->lat,mix,lat,0,1,3,3,1,1.0,1822,607.333,SIP.LH,2,2,2,"[LHL3, MB_CA.MB_MLL2] -> SIP.LHL2 -> [LHL2, MB_VL.LHL2]",LH,3,MB_CA.MB_ML,2,LH,2,MB_VL.LH,2
2144,mixed,mix->lat,mix,lat,0,1,3,3,1,1.0,1824,608.0,SIP.LH,2,2,2,"[LHL3, MB_CA.MB_MLL2] -> SIP.LHL2 -> [LHL2, MB_VL.SIPL2]",LH,3,MB_CA.MB_ML,2,LH,2,MB_VL.SIP,2
1944,mixed,mix->lat,mix,lat,0,1,3,3,1,1.0,1844,614.667,SIP.LH,2,2,2,"[LHL3, MB_CA.MB_MLL2] -> SIP.LHL2 -> [PLPL2, PLP.VESL2]",LH,3,MB_CA.MB_ML,2,PLP,2,PLP.VES,2
1928,mixed,mix->lat,mix,lat,0,1,3,3,3,2.442,1732,577.333,SIP.LH,2,2,2,"[LHL3, MB_CA.MB_MLL2] -> SIP.LHL2 -> [LH.CREL2, PLP.ALL2]",LH,3,MB_CA.MB_ML,2,LH.CRE,2,PLP.AL,2
1693,mixed,mix->lat,mix,lat,0,1,3,3,3,2.263,1844,614.667,SIP.LH,2,2,2,"[LHL3, MB_CA.MB_MLL2] -> SIP.LHL2 -> [LH.CREL2, PLPL2]",LH,3,MB_CA.MB_ML,2,LH.CRE,2,PLP,2
14851,pure_lateral,lat->lat,lat,lat,0,0,4,3,3,1.828,1517,505.667,SIP.LH,2,2,2,"[MB_CA.MB_MLL2, MB_MLL2] -> SIP.LHL2 -> [LHL2, PLPL2]",MB_CA.MB_ML,2,MB_ML,2,LH,2,PLP,2
14150,pure_lateral,lat->lat,lat,lat,0,0,4,3,3,2.521,1405,468.333,SIP.LH,2,2,2,"[MB_CA.MB_MLL2, MB_MLL2] -> SIP.LHL2 -> [LHL2, PLP.ALL2]",MB_CA.MB_ML,2,MB_ML,2,LH,2,PLP.AL,2
12776,pure_lateral,lat->lat,lat,lat,0,0,4,3,3,1.471,1426,475.333,SIP.LH,2,2,2,"[MB_CA.MB_MLL2, MB_MLL2] -> SIP.LHL2 -> [PLPL2, PLP.ALL2]",MB_CA.MB_ML,2,MB_ML,2,PLP,2,PLP.AL,2
10418,pure_lateral,lat->lat,lat,lat,0,0,4,3,3,1.424,1685,561.667,SIP.LH,2,2,2,"[MB_CA.MB_MLL2, MB_CA.MB_VLL2] -> SIP.LHL2 -> [LHL2, PLP.ALL2]",MB_CA.MB_ML,2,MB_CA.MB_VL,2,LH,2,PLP.AL,2
10368,pure_lateral,lat->lat,lat,lat,0,0,4,3,1,1.0,1426,475.333,SIP.LH,2,2,2,"[MB_CA.MB_MLL2, MB_MLL2] -> SIP.LHL2 -> [PLPL2, PLP.VESL2]",MB_CA.MB_ML,2,MB_ML,2,PLP,2,PLP.VES,2
7639,pure_lateral,lat->lat,lat,lat,0,0,4,3,3,2.019,1797,599.0,SIP.LH,2,2,2,"[MB_CA.MB_MLL2, MB_CA.MB_VLL2] -> SIP.LHL2 -> [LHL2, PLPL2]",MB_CA.MB_ML,2,MB_CA.MB_VL,2,LH,2,PLP,2
7075,pure_lateral,lat->lat,lat,lat,0,0,4,3,3,2.521,1405,468.333,SIP.LH,2,2,2,"[MB_CA.MB_MLL2, MB_MLL2] -> SIP.LHL2 -> [LHL2, LH.CREL2]",MB_CA.MB_ML,2,MB_ML,2,LH,2,LH.CRE,2
6388,pure_lateral,lat->lat,lat,lat,0,0,4,3,3,1.471,1426,475.333,SIP.LH,2,2,2,"[MB_CA.MB_MLL2, MB_MLL2] -> SIP.LHL2 -> [LH.CREL2, PLPL2]",MB_CA.MB_ML,2,MB_ML,2,LH.CRE,2,PLP,2
5458,pure_lateral,lat->lat,lat,lat,0,0,4,3,3,1.973,1706,568.667,SIP.LH,2,2,2,"[MB_CA.MB_MLL2, MB_CA.MB_VLL2] -> SIP.LHL2 -> [PLPL2, PLP.ALL2]",MB_CA.MB_ML,2,MB_CA.MB_VL,2,PLP,2,PLP.AL,2
5209,pure_lateral,lat->lat,lat,lat,0,0,4,3,3,1.424,1685,561.667,SIP.LH,2,2,2,"[MB_CA.MB_MLL2, MB_CA.MB_VLL2] -> SIP.LHL2 -> [LHL2, LH.CREL2]",MB_CA.MB_ML,2,MB_CA.MB_VL,2,LH,2,LH.CRE,2
