waist,n_pattern,massa,massa_max
SAD.SPSL3,346,5700.0,48.0
GNG.SCLL2,225,5600.0,64.0
PLP.LALL1,295,5509.0,84.0
LAL.WEDL3,306,5420.0,39.0
SAD.AVLPL2,309,5399.0,75.0
SPS.LALL1,325,5188.0,48.0
AVLP.SMPL3,245,5030.0,80.0
LAL1,23,5002.0,1402.0
FLA.PRWL2,216,4994.0,143.0
LAL.WEDL2,306,4866.0,54.0
PLP.ATLL2,380,4758.0,40.0
MB_PED.MB_MLL2,312,4703.0,40.0
OCG.IPSL1,125,4647.0,152.0
IB.LALL2,184,4560.0,144.0
MB_CA.MB_PEDL2,139,4528.0,275.0
WED.PLPL1,240,4473.0,54.0
PLP.MB_CAL2,226,4304.0,96.0
CRE.SLPL3,234,4299.0,64.0
SIP.MB_MLL2,132,4245.0,216.0
AMMC.SADL3,128,4204.0,174.0
VES.SIPL1,299,4185.0,60.0
SLP.PRWL2,205,4098.0,76.0
SLP.FLAL3,128,4057.0,252.0
SIP.IBL3,201,3957.0,84.0
SMPL1,294,3956.0,54.0
SPS.AMMCL3,176,3738.0,81.0
NO.IPSL2,198,3645.0,60.0
SCL.ICLL3,234,3601.0,56.0
VES.WEDL2,224,3568.0,54.0
MB_MLL2,125,3484.0,360.0
ME.IPSL3,130,3272.0,126.0
MB_CA.SLPL2,98,3250.0,160.0
SMP.SIPL2,170,3222.0,65.0
LAL.FLAL2,219,3213.0,21.0
SIP.SMPL3,169,3109.0,64.0
IPS.PBL2,104,3053.0,120.0
SPS.OCGL1,87,2841.0,168.0
LO.CREL3,145,2767.0,72.0
SLP.LHL3,103,2763.0,140.0
FBL1,130,2688.0,72.0
IPS.PBL3,100,2608.0,180.0
AL.SIPL3,56,2544.0,166.0
MB_CA.CREL3,54,2538.0,290.0
LH.AVLPL3,91,2538.0,300.0
IPS.AMMCL3,145,2511.0,80.0
SPS.ICLL2,157,2351.0,40.0
IB.VESL2,216,2350.0,20.0
AVLP.IBL3,132,2289.0,60.0
SMP.ATLL3,127,2236.0,32.0
SMP.MB_MLL3,67,1969.0,123.0
PRW.FLAL1,62,1952.0,160.0
