motif_count,hourglass_type,signature,fanin_sig,fanout_sig,n_FWD,n_BWD,n_LAT,n_waist,n_waist_active,n_waist_eff,n_periphery,compression,bottleneck_area,bottleneck_level,k_in,k_out,structure_str,fan_in_0_area,fan_in_0_level,fan_in_1_area,fan_in_1_level,fan_out_0_area,fan_out_0_level,fan_out_1_area,fan_out_1_level
23944386,mixed,mix->mix,mix,mix,2,1,1,311,67,9.497,68778,221.151,visual_centrifugal,2,2,2,"[centralL1, visual_projectionL3] -> visual_centrifugalL2 -> [opticL2, opticL3]",central,1,visual_projection,3,optic,2,optic,3
23682197,mixed,mix->mix,mix,mix,1,1,2,311,10,1.995,43205,138.923,visual_centrifugal,2,2,2,"[centralL1, descendingL2] -> visual_centrifugalL2 -> [opticL1, opticL2]",central,1,descending,2,optic,1,optic,2
23661948,mixed,mix->FWD,mix,FWD,3,0,1,35584,705,2.642,33015,0.928,optic,2,2,2,"[visual_centrifugalL1, visual_centrifugalL2] -> opticL2 -> [opticL3, visual_projectionL3]",visual_centrifugal,1,visual_centrifugal,2,optic,3,visual_projection,3
23600296,mixed,mix->mix,mix,mix,0,2,2,311,59,3.827,46395,149.18,visual_centrifugal,2,2,2,"[visual_projectionL2, visual_projectionL3] -> visual_centrifugalL2 -> [opticL1, opticL2]",visual_projection,2,visual_projection,3,optic,1,optic,2
23436942,mixed,mix->mix,mix,mix,1,1,2,45,3,2.805,48072,1068.267,visual_centrifugal,1,2,2,"[centralL2, descendingL1] -> visual_centrifugalL1 -> [opticL1, opticL2]",central,2,descending,1,optic,1,optic,2
23336105,mixed,mix->mix,mix,mix,0,2,2,35584,310,1.667,31398,0.882,optic,2,2,2,"[opticL3, visual_centrifugalL2] -> opticL2 -> [visual_projectionL1, visual_projectionL2]",optic,3,visual_centrifugal,2,visual_projection,1,visual_projection,2
22847572,mixed,mix->mix,mix,mix,1,1,2,1062,265,4.605,73695,69.393,visual_projection,2,2,2,"[opticL2, opticL3] -> visual_projectionL2 -> [centralL2, visual_projectionL3]",optic,2,optic,3,central,2,visual_projection,3
22775756,mixed,mix->mix,mix,mix,1,1,2,1062,192,8.054,75274,70.879,visual_projection,2,2,2,"[opticL2, opticL3] -> visual_projectionL2 -> [centralL3, visual_centrifugalL2]",optic,2,optic,3,central,3,visual_centrifugal,2
22643868,mixed,mix->mix,mix,mix,2,0,2,311,62,7.986,66671,214.376,visual_centrifugal,2,2,2,"[visual_projectionL1, visual_projectionL2] -> visual_centrifugalL2 -> [opticL2, opticL3]",visual_projection,1,visual_projection,2,optic,2,optic,3
22586433,mixed,mix->mix,mix,mix,0,2,2,311,15,3.589,43254,139.08,visual_centrifugal,2,2,2,"[ascendingL2, visual_centrifugalL3] -> visual_centrifugalL2 -> [opticL1, opticL2]",ascending,2,visual_centrifugal,3,optic,1,optic,2
22403375,mixed,mix->mix,mix,mix,1,2,1,35584,308,3.095,33051,0.929,optic,2,2,2,"[opticL3, visual_centrifugalL2] -> opticL2 -> [visual_projectionL1, visual_projectionL3]",optic,3,visual_centrifugal,2,visual_projection,1,visual_projection,3
22078896,mixed,BWD->mix,BWD,mix,1,2,1,45,2,1.931,43225,960.556,visual_centrifugal,1,2,2,"[ascendingL2, descendingL2] -> visual_centrifugalL1 -> [opticL1, opticL2]",ascending,2,descending,2,optic,1,optic,2
21948575,mixed,mix->mix,mix,mix,1,1,2,311,30,3.47,43326,139.312,visual_centrifugal,2,2,2,"[ascendingL1, ascendingL2] -> visual_centrifugalL2 -> [opticL1, opticL2]",ascending,1,ascending,2,optic,1,optic,2
21005640,mixed,mix->mix,mix,mix,2,2,0,35584,499,5.277,39738,1.117,optic,2,2,2,"[opticL3, visual_centrifugalL1] -> opticL2 -> [opticL1, visual_projectionL3]",optic,3,visual_centrifugal,1,optic,1,visual_projection,3
20682896,mixed,mix->mix,mix,mix,1,1,2,35584,189,2.033,31398,0.882,optic,2,2,2,"[visual_centrifugalL2, visual_centrifugalL3] -> opticL2 -> [opticL3, visual_projectionL2]",visual_centrifugal,2,visual_centrifugal,3,optic,3,visual_projection,2
20578814,mixed,mix->mix,mix,mix,1,1,2,45,3,2.0,42823,951.622,visual_centrifugal,1,2,2,"[ascendingL1, descendingL2] -> visual_centrifugalL1 -> [opticL1, opticL2]",ascending,1,descending,2,optic,1,optic,2
20339851,mixed,mix->mix,mix,mix,2,1,1,311,33,5.977,66550,213.987,visual_centrifugal,2,2,2,"[ascendingL3, centralL1] -> visual_centrifugalL2 -> [opticL2, opticL3]",ascending,3,central,1,optic,2,optic,3
20270389,mixed,mix->FWD,mix,FWD,2,1,1,35584,227,2.376,33051,0.929,optic,2,2,2,"[visual_centrifugalL2, visual_centrifugalL3] -> opticL2 -> [opticL3, visual_projectionL3]",visual_centrifugal,2,visual_centrifugal,3,optic,3,visual_projection,3
20204204,mixed,LAT->mix,LAT,mix,1,0,3,311,59,8.9,67145,215.9,visual_centrifugal,2,2,2,"[ascendingL2, visual_projectionL2] -> visual_centrifugalL2 -> [opticL2, opticL3]",ascending,2,visual_projection,2,optic,2,optic,3
19808811,mixed,mix->mix,mix,mix,1,1,2,311,83,4.007,45893,147.566,visual_centrifugal,2,2,2,"[centralL2, centralL3] -> visual_centrifugalL2 -> [opticL3, visual_projectionL2]",central,2,central,3,optic,3,visual_projection,2
19582297,mixed,BWD->mix,BWD,mix,0,3,1,311,17,2.856,43186,138.862,visual_centrifugal,2,2,2,"[ascendingL3, visual_centrifugalL3] -> visual_centrifugalL2 -> [opticL1, opticL2]",ascending,3,visual_centrifugal,3,optic,1,optic,2
19468407,mixed,mix->mix,mix,mix,1,1,2,311,89,3.024,53186,171.016,visual_centrifugal,2,2,2,"[centralL2, centralL3] -> visual_centrifugalL2 -> [opticL2, visual_projectionL3]",central,2,central,3,optic,2,visual_projection,3
